CDS_CODE	COUNTY	DISTRICT	SCHOOL	D9	D10	D11	D12	GRADS	GRADRATE	YEAR
00000000000000	State Total	State Total	State Total	17375	15168	23395	42078	405087	80.5	0910
01000000000000	Alameda	County Total	County Total	631	470	738	1448	13926	80.9	0910
01100170000000	Alameda	Alameda County Office of Education	District Total	46	102	122	132	139	25.7	0910
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	12	3	4	3	54	71.1	0910
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	6	1	4	0	26	70.3	0910
01100170118489	Alameda	Alameda County Office of Education	Aspire California College Preparatory Academy	0	0	0	0	0	0.0	0910
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	21	62	83	102	3	1.1	0910
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	3	19	24	20	34	34.0	0910
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	4	17	7	7	22	38.6	0910
01316090000000	Alameda	California School for the Blind (State Special Schl)	District Total	0	0	0	0	0	0.0	0910
01316090131755	Alameda	California School for the Blind (State Special Schl)	California School for the Blind	0	0	0	0	0	0.0	0910
01316170000000	Alameda	California School for the Deaf-Fremont (State Special Schl)	District Total	1	0	2	1	34	89.5	0910
01316170131763	Alameda	California School for the Deaf-Fremont (State Special Schl)	California School for the Deaf-Fremont	1	0	2	1	34	89.5	0910
01611190000000	Alameda	Alameda Unified	District Total	3	11	20	80	777	87.2	0910
01611190000001	Alameda	Alameda Unified	Nonpublic, nonsectarian	0	0	0	2	1	33.3	0910
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	0	0	1	2	24	88.9	0910
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	0	0	0	0	0	0.0	0910
01611190130229	Alameda	Alameda Unified	Alameda High	2	1	8	18	416	93.5	0910
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	0	2	0	0	0	0.0	0910
01611190130625	Alameda	Alameda Unified	Bay Area School of Enterprise	0	3	0	5	25	75.8	0910
01611190132878	Alameda	Alameda Unified	Encinal High	1	5	5	10	236	91.8	0910
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	0	0	6	43	75	60.5	0910
01611196000004	Alameda	Alameda Unified	Chipman Middle	0	0	0	0	0	0.0	0910
01611196090054	Alameda	Alameda Unified	Lincoln Middle	0	0	0	0	0	0.0	0910
01611196090112	Alameda	Alameda Unified	Will C. Wood Middle	0	0	0	0	0	0.0	0910
01611270000000	Alameda	Albany City Unified	District Total	5	2	19	11	321	89.7	0910
01611270000001	Alameda	Albany City Unified	Nonpublic, nonsectarian	0	0	1	0	0	0.0	0910
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	1	1	8	5	12	44.4	0910
01611270130450	Alameda	Albany City Unified	Albany High	4	1	10	6	309	93.6	0910
01611276090161	Alameda	Albany City Unified	Albany Middle	0	0	0	0	0	0.0	0910
01611430000000	Alameda	Berkeley Unified	District Total	10	13	56	56	733	84.4	0910
01611430000001	Alameda	Berkeley Unified	Nonpublic, nonsectarian	0	2	2	1	5	50.0	0910
01611430131177	Alameda	Berkeley Unified	Berkeley High	10	10	42	46	677	86.2	0910
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	0	1	12	9	51	69.9	0910
01611436056857	Alameda	Berkeley Unified	Martin Luther King Middle	0	0	0	0	0	0.0	0910
01611436056865	Alameda	Berkeley Unified	Willard Middle	0	0	0	0	0	0.0	0910
01611436090294	Alameda	Berkeley Unified	Longfellow Arts and Technology Middle	0	0	0	0	0	0.0	0910
01611500000000	Alameda	Castro Valley Unified	District Total	1	3	8	17	787	96.4	0910
01611500000001	Alameda	Castro Valley Unified	Nonpublic, nonsectarian	0	0	0	0	3	0.0	0910
01611500102194	Alameda	Castro Valley Unified	Redwood Alternative High	0	2	4	5	21	65.6	0910
01611500130047	Alameda	Castro Valley Unified	Roy A. Johnson High	0	0	0	0	0	0.0	0910
